date,pollster,bulstrode,lydgate,vincy,casaubon,chettam,others
2024-04-03,"
        Verity Insights
      ",,,,,,
2024-04-03,"
        Capitol Opinion Research
      ",,,,,,
2024-04-03,"
        Bardi University
      ",,,,,,
2024-04-01,"
        DemocracyMeter
      ",,,,,,
2024-03-30,"
        Policy Voice Polling
      ",,,,,,
2024-03-28,"
        Pulse Analytics
      ",,,,,,
2024-03-28,"
        Bardi University
      ",0.6608122941822174,0.1855072463768117,0.9080280592361654,0.11999169607639605,,0.5295202952029522
2024-03-27,"
        Verity Insights
      ",0.6399560922063672,0.13913043478260861,0.8791893998441153,0.1785343574839111,,0.6033210332103321
2024-03-25,"
        Mandate Metrics
      ",0.6267837541163558,0.1434782608695653,0.8558067030397505,0.2140336308905958,,0.7785977859778597
2024-03-25,"
        DemocracyMeter
      ",0.6136114160263448,0.14492753623188395,0.8659392049883087,0.22960348764791358,,0.6457564575645756
2024-03-24,"
        Civic Pulse
      ",0.6026344676180027,0.08695652173913052,0.8659392049883087,0.24579613867552408,,0.8118081180811808
2024-03-24,"
        Calvo Group
      ",0.5642151481888034,0.08985507246376818,0.9010132501948559,0.2071828939173759,,0.9354243542435422
2024-03-23,"
        Policy Voice Polling
      ",0.5993413830954992,0.08405797101449249,0.9251753702260328,0.1473946439692754,,0.7527675276752768
2024-03-22,"
        Bardi University
      ",0.574094401756312,0.018840579710145047,0.9524551831644584,0.10193066223790727,,0.8154981549815498
2024-03-22,"
        University of Bellville-sur-Mer
      ",0.6092206366630079,0.03188405797101439,0.9680436477007015,0.07079094872327173,,0.7232472324723248
2024-03-22,"
        University of Bellville-sur-Mer
      ",0.6311745334796927,0.039130434782608386,0.9672642244738895,0.07016815445297893,,0.5276752767527677
2024-03-20,"
        Verity Insights
      ",0.6377607025246979,0.0739130434782608,0.9742790335151987,0.0938343367241021,,0.43911439114391143
2024-03-20,"
        Capitol Opinion Research
      ",0.6212952799121841,0.13623188405797057,0.966484801247077,0.13618434710400662,,0.24538745387453886
2024-03-18,"
        DemocracyMeter
      ",0.6410537870472007,0.179710144927536,0.9173811379579112,0.1785343574839111,,0.12361623616236174
2024-03-16,"
        Policy Voice Polling
      ",0.6717892425905602,0.16811594202898533,0.9088074824629774,0.19223583143035083,,0.08856088560885622
2024-03-16,"
        Bardi University
      ",0.6717892425905602,0.165217391304348,0.8924395946999223,0.18746107535810663,0.022918615528531323,0.13284132841328422
2024-03-14,"
        Pulse Analytics
      ",0.6597145993413828,0.15362318840579697,0.8971161340607952,0.1642100892671787,0.02182725288431555,0.33579335793357934
